# lambda_val.val 0.40000
    1       -48.8073589937
    2       -48.5379389970
    3       -48.5067873707
    4       -48.0966762574
    5       -47.7501999792
    6       -47.9164192890
    7       -47.9331804710
    8       -48.2977559474
    9       -47.0625275196
   10       -48.4690136094
   11       -48.5616680718
   12       -48.3252519130
   13       -48.2487463027
   14       -48.3590031737
   15       -48.2676192584
   16       -47.4798582160
   17       -48.1570072757
   18       -48.5569388045
   19       -48.2712681848
   20       -47.8235549410
   21       -48.5530835686
   22       -47.9183542632
   23       -48.3734796378
   24       -47.6604419703
   25       -48.6779285911
   26       -47.6030297471
   27       -48.0668263383
   28       -48.3285966389
   29       -48.3792384613
   30       -48.3775750465
   31       -48.5174677900
   32       -48.3888003833
   33       -48.5210093745
   34       -48.2260652541
   35       -48.4019916903
   36       -47.9899511594
   37       -48.9446699263
   38       -48.9663435980
   39       -48.3419960977
   40       -47.9201184740
   41       -48.6291845846
   42       -48.0861291429
   43       -48.3185794620
   44       -48.3701646263
   45       -48.6382002437
   46       -47.6139931577
   47       -48.9869310885
   48       -48.1460592533
   49       -48.5899352155
   50       -48.0185602855
   51       -48.5176370274
   52       -47.7980432567
   53       -48.4422619076
   54       -48.2571349804
   55       -48.2023190893
   56       -48.4168927670
   57       -47.8061606744
   58       -48.8990807361
   59       -48.2001977918
   60       -48.9060683128
   61       -48.6187852099
   62       -48.3516830715
   63       -48.5354277017
   64       -48.3090401341
   65       -48.1936988122
   66       -47.4802385228
   67       -48.5712455763
   68       -48.0257855482
   69       -48.6323479102
   70       -47.9948449160
   71       -48.7793556909
   72       -48.0840164066
   73       -48.7194785255
   74       -48.4692483690
   75       -48.4368584774
   76       -48.0301599252
   77       -48.7739101643
   78       -47.7598480061
   79       -48.0563641285
   80       -48.6993752530
   81       -47.9338841900
   82       -48.3331818760
   83       -48.7885102926
   84       -48.5994864209
   85       -47.7883348907
   86       -48.1314066457
   87       -48.7344362983
   88       -48.3442458109
   89       -47.7963787921
   90       -47.9572007354
   91       -48.7736401504
   92       -49.2190069404
   93       -47.8412603695
   94       -47.8735330625
   95       -48.4433798041
   96       -48.6806254340
   97       -47.7447872990
   98       -48.1335786210
   99       -48.1157904553
  100       -48.6276675361
